name,email,scraped_phone,original_phone,contact_name,address,website,category,rating,url
Bob Burns Electric,,,"
(740) 453-6384",,"
3905 Dresden Rd, Zanesville, OH 43701",,Electrician,5.0,https://www.google.com/maps/place/Bob+Burns+Electric/data=!4m7!3m6!1s0x8837ed05bed90f99:0x184d22db1c89ae5e!8m2!3d39.998435!4d-82.0066441!16s%2Fg%2F1tnhy_5y!19sChIJmQ_ZvgXtN4gRXq6JHNsiTRg?authuser=0&hl=en&rclk=1
Y-City Electric LLC,ycityelectric@gmail.com,740-517-9521,"
(740) 517-9521",,,http://www.ycityelectric.com/,Electrician,4.7,https://www.google.com/maps/place/Y-City+Electric+LLC/data=!4m7!3m6!1s0xa1c38596cec69a2f:0x389fff58c69d8b1d!8m2!3d39.8690834!4d-82.0042094!16s%2Fg%2F11l65lh2v9!19sChIJL5rGzpaFw6ERHYudxlj_nzg?authuser=0&hl=en&rclk=1
Linden Lighting & Supply Co,lindenlighting@sbcglobal.net,"740-452-8957, 740-452-9797","
(740) 452-8957",,"
200 W Monroe St, Zanesville, OH 43701",https://www.lindenlighting.com/,Lighting store,4.7,https://www.google.com/maps/place/Linden+Lighting+%26+Supply+Co/data=!4m7!3m6!1s0x8837ee7774a84d1d:0xe274b8e44d8e1bde!8m2!3d39.9522267!4d-82.0026623!16s%2Fg%2F1wbryfsk!19sChIJHU2odHfuN4gR3huOTeS4dOI?authuser=0&hl=en&rclk=1
G-Tech Plumbing,"20admin@gtechoh.com, admin@gtechoh.com","(740) 644-9186, 740) 644-9186","
(740) 644-9186",,"
74 Audubon Dr, Zanesville, OH 43701",https://zanesville.gtechoh.com/,Plumber,5.0,https://www.google.com/maps/place/G-Tech+Plumbing/data=!4m7!3m6!1s0x66b7c5cc83913579:0x533858657235d2b0!8m2!3d39.9062443!4d-82.0212362!16s%2Fg%2F11kh_h2kh2!19sChIJeTWRg8zFt2YRsNI1cmVYOFM?authuser=0&hl=en&rclk=1
Thomas Electric Co,,,"
(740) 453-2942",,"
5104 Heritage Dr, Nashport, OH 43830",,Electrician,3.0,https://www.google.com/maps/place/Thomas+Electric+Co/data=!4m7!3m6!1s0x8837ed5c187b2135:0xc7c93ca77058d71e!8m2!3d40.0184571!4d-82.0344269!16s%2Fg%2F1hbpws7qn!19sChIJNSF7GFztN4gRHtdYcKc8ycc?authuser=0&hl=en&rclk=1
Motion Electric Co.,,,"
(740) 319-6918",,"
456 Zanesville Rd, Zanesville, OH 43701",,Electrician,2.0,https://www.google.com/maps/place/Motion+Electric+Co./data=!4m7!3m6!1s0x8837fb0cd6f3ee73:0x8fb99cb52ebf416!8m2!3d39.8136781!4d-82.0761763!16s%2Fg%2F11xbq9g0f!19sChIJc-7z1gz7N4gRFvTrUsuZ-wg?authuser=0&hl=en&rclk=1
QuickSilver Electric LLC,,,"
(740) 624-9779",,,,Electrician,5.0,https://www.google.com/maps/place/QuickSilver+Electric+LLC/data=!4m7!3m6!1s0x8837ee7fec88bd43:0x1ef87dd2f9019e50!8m2!3d40.3633958!4d-82.669505!16s%2Fg%2F11bz85dw2y!19sChIJQ72I7H_uN4gRUJ4B-dJ9-B4?authuser=0&hl=en&rclk=1
Settle Muter Electric,,,"
(740) 452-6837",,"
49 Buckeye Dr, Zanesville, OH 43701",,Electrician,,https://www.google.com/maps/place/Settle+Muter+Electric/data=!4m7!3m6!1s0x8837ec31b5a6ac53:0xf65d4fc0c5f2ca5b!8m2!3d39.9619644!4d-81.988577!16s%2Fg%2F1vq9myyr!19sChIJU6ymtTHsN4gRW8ryxcBPXfY?authuser=0&hl=en&rclk=1
Electric Motor & Service,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","43701
740.453.0527, 330.456.4728, 740.453.0527","
(740) 453-0527",,"
218 Adams St, Zanesville, OH 43701",https://www.hannonelectric.com/electric-motor-service,Electric motor repair shop,4.2,https://www.google.com/maps/place/Electric+Motor+%26+Service/data=!4m7!3m6!1s0x8837ee67dac41a3d:0xe41fa2a4d3acaa46!8m2!3d39.9328128!4d-82.0077429!16s%2Fg%2F1tj9721s!19sChIJPRrE2mfuN4gRRqqs06SiH-Q?authuser=0&hl=en&rclk=1
Ball Electrical Services,,,"
(740) 453-3908",,"
100 Sletzer Dr, Zanesville, OH 43701",,Electrician,4.0,https://www.google.com/maps/place/Ball+Electrical+Services/data=!4m7!3m6!1s0x8837f17bf0165f9d:0x1a553bd1c2878ea8!8m2!3d39.9517369!4d-82.0910495!16s%2Fg%2F1thvtc58!19sChIJnV8W8HvxN4gRqI6HwtE7VRo?authuser=0&hl=en&rclk=1
