name,email,scraped_phone,original_phone,contact_name,address,website,category,rating,url
Todd Plumbing Co.,"toddplumbing.bob@gmail.com, mail@demolink.org","740) 453-2081, 740) 453-2081
2032, (740) 453-2081","
(740) 453-2081",,"
2032 Tannehill St Rear, Zanesville, OH 43701",https://www.toddplumbingco.com/,Plumber,4.5,https://www.google.com/maps/place/Todd+Plumbing+Co./data=!4m7!3m6!1s0x8837edc2b984b599:0xe2275353a6b1c048!8m2!3d39.963012!4d-82.017596!16s%2Fg%2F1tgj9g_g!19sChIJmbWEucLtN4gRSMCxplNTJ-I?authuser=0&hl=en&rclk=1
Bath Fitter,"details-window-shower-rendering@2x-scaled.jpg, faucet-shower-straight-view@2x-scaled.jpg, safety-seat-pearl-decor@2x-scaled.jpg","844-915-1086, 2710064024, 4202130000, 055-043646, 0823-19-2078, 877-817-0816, 420213000044, 1-844-915-1086, 058-198946, 2705155694, 2705146537","
(740) 324-7125",,"
878 Dryden Rd, Zanesville, OH 43701","https://www.bath-fitter.com/consultation?source=15045&phone=1-844-915-1086&location=Zanesville,%20OH",Bathroom remodeler,4.8,https://www.google.com/maps/place/Bath+Fitter/data=!4m7!3m6!1s0x8837ee3b7266c215:0x41314d5b3ee98b2f!8m2!3d39.9267858!4d-82.0266108!16s%2Fg%2F1tlwg9bd!19sChIJFcJmcjvuN4gRL4vpPltNMUE?authuser=0&hl=en&rclk=1
Quinn Supply,,,"
(740) 453-6056",,"
4265 E Pike #9530, Zanesville, OH 43701",http://www.quinnsupply.com/,Heating contractor,4.5,https://www.google.com/maps/place/Quinn+Supply/data=!4m7!3m6!1s0x8837ebceb6ce357f:0x8d7e91c333673e6!8m2!3d39.961202!4d-81.915206!16s%2Fg%2F1tdyrfz_!19sChIJfzXOts7rN4gR5nM2Mxzp1wg?authuser=0&hl=en&rclk=1
Roto-Rooter,,800-768-6911,"
(740) 453-9935",,"
4830 Northpointe Dr, Zanesville, OH 43701",https://www.rotorooter.com/,Plumber,4.9,https://www.google.com/maps/place/Roto-Rooter/data=!4m7!3m6!1s0x8837ed6aefe4fb6f:0xf36ab2bcf7ae148c!8m2!3d40.0121686!4d-82.0211744!16s%2Fg%2F1tj5ltrc!19sChIJb_vk72rtN4gRjBSu97yyavM?authuser=0&hl=en&rclk=1
Triple H Services llc,,,"
(740) 868-1298",,,,Handyman/Handywoman/Handyperson,5.0,https://www.google.com/maps/place/Triple+H+Services+llc/data=!4m7!3m6!1s0x8837f19449e08a99:0xa96eadbb3eee535f!8m2!3d39.9662765!4d-82.0166266!16s%2Fg%2F11hy_44w2f!19sChIJmYrgSZTxN4gRX1PuPrutbqk?authuser=0&hl=en&rclk=1
Buckeye Supply Co,,,"
(740) 452-3641",,"
999 Zane St A, Zanesville, OH 43701",,Pipe supplier,3.8,https://www.google.com/maps/place/Buckeye+Supply+Co/data=!4m7!3m6!1s0x8837ee80062495c5:0x5e2c81c3a1ece42f!8m2!3d39.9485641!4d-82.0003161!16s%2Fg%2F1tsr3wbb!19sChIJxZUkBoDuN4gRL-TsocOBLF4?authuser=0&hl=en&rclk=1
Jeff's Sanitary Plumbing Co,,,"
(740) 453-3986",,"
39 Juanita Dr, Zanesville, OH 43701",,Plumber,4.0,https://www.google.com/maps/place/Jeff%27s+Sanitary+Plumbing+Co/data=!4m7!3m6!1s0x8837efb3e87427d9:0x5ae39a253e5f2c8!8m2!3d39.9067165!4d-82.011725!16s%2Fg%2F1tj4zcc2!19sChIJ2Sd06LPvN4gRyPLlU6I5rgU?authuser=0&hl=en&rclk=1
Westwater Supply Corp.,"webadmin@westwatersupply.com, info@westwatersupply.com","614) 261-1197, (614) 261-1197, (614) 261-6014, 614) 261-6014","
(740) 588-4783",,"
1007 Lee St, Zanesville, OH 43701",http://www.westwatersupply.com/,Plumbing supply store,4.8,https://www.google.com/maps/place/Westwater+Supply+Corp./data=!4m7!3m6!1s0x8837ee7332ad7f4d:0xd4134bf27886f1f3!8m2!3d39.945668!4d-82.019024!16s%2Fg%2F1td9fdtn!19sChIJTX-tMnPuN4gR8_GGePJLE9Q?authuser=0&hl=en&rclk=1
Pat Durant Plumbing,,,"
(740) 819-3364",,"
2985 S Pleasant Grove Rd, Zanesville, OH 43701",,Plumber,4.3,https://www.google.com/maps/place/Pat+Durant+Plumbing/data=!4m7!3m6!1s0x8837e953b6d0ff99:0x160a6d3ebd941a32!8m2!3d39.9414479!4d-81.9518479!16s%2Fg%2F1w96hdcv!19sChIJmf_QtlPpN4gRMhqUvT5tChY?authuser=0&hl=en&rclk=1
Enervise,"contact@enervise.com, logo-site@2x.png.webp","1-866-386-2763, 44256
866-386-2763, 866-386-2763","
(740) 630-1369",,"
2055 Grief Rd, Zanesville, OH 43701",https://www.enervise.com/,HVAC contractor,4.7,https://www.google.com/maps/place/Enervise/data=!4m7!3m6!1s0x8837ee12767db71f:0xf917b7c358b2f1a0!8m2!3d39.9527853!4d-82.0302074!16s%2Fg%2F11c1q5mvy4!19sChIJH7d9dhLuN4gRoPGyWMO3F_k?authuser=0&hl=en&rclk=1
