name,email,scraped_phone,original_phone,contact_name,address,website,category,rating,url
Jc's and Sons Affordable Home Improvements,,,"
(740) 408-6000",,"
840 Caldwell St, Zanesville, OH 43701",,Contractor,3.0,"https://www.google.com/maps/place/Jc's+and+Sons+Affordable+Home+Improvements/@39.961159,-82.0142112,17z/data=!3m1!4b1!4m6!3m5!1s0x8837edb978b6aff1:0x47d989769be4f91e!8m2!3d39.961159!4d-82.0142112!16s%2Fg%2F11j2vg_9qz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Lafferty Construction,,,"
(740) 872-3029",,"
9512, 6100 Park Ln, Zanesville, OH 43701",,General contractor,3.0,"https://www.google.com/maps/place/Lafferty+Construction/@39.9491294,-81.8752965,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ea05b19bdaaf:0x7051f624a09cfd0a!8m2!3d39.9491294!4d-81.8752965!16s%2Fg%2F1tgcb52v?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Enviro-Flow,"enviro@enviro-flow.com, user@domain.com","1-740-454-9410, 877-273-5463, 1-740-453-7980, 740-454-9410, 740-453-7980, 1-877-273-5463","
(877) 273-5463",,"
4830 Northpointe Dr #100, Zanesville, OH 43701",https://enviro-flow.com/contact-us/,Contractor,4.3,https://www.google.com/maps/place/Enviro-Flow/data=!4m7!3m6!1s0x8837ed6aefe4fb6f:0xeafeebd109890b30!8m2!3d40.0121753!4d-82.0212271!16s%2Fg%2F11ghr0x76h!19sChIJb_vk72rtN4gRMAuJCdHr_uo?authuser=0&hl=en&rclk=1
GMEI Services,,,"
(740) 203-9303",,,https://gmeiservices.com/,General contractor,5.0,https://www.google.com/maps/place/GMEI+Services/data=!4m7!3m6!1s0x4cda510c14ef7af7:0xfd2e27e572b7569b!8m2!3d39.9881924!4d-82.12657!16s%2Fg%2F11xl6183ww!19sChIJ93rvFAxR2kwRm1a3cuUnLv0?authuser=0&hl=en&rclk=1
Habitat for Humanity ReStore,,"740) 589-5865, (740) 592-0032, (740) 654-3434, 740) 654-3434, 740) 592-0032, (740) 297-4446, (740) 589-5865, 740) 297-4446","
(740) 297-4446",,"
100 Sunrise Center Dr, Zanesville, OH 43701",http://www.habitatseo.org/,Thrift store,4.0,https://www.google.com/maps/place/Habitat+for+Humanity+ReStore/data=!4m7!3m6!1s0x8837ee99683e7b2d:0x1c7bdde52426ee26!8m2!3d39.9441363!4d-81.9802662!16s%2Fg%2F11bytn3zy3!19sChIJLXs-aJnuN4gRJu4mJOXdexw?authuser=0&hl=en&rclk=1
Covic Connection,sales@covicconnection.com,"740) 982-1444, (740) 982-1444","
(740) 982-1444",,"
2908 Bell St, Zanesville, OH 43701",https://covicconnection.com/,Carpet cleaning service,5.0,"https://www.google.com/maps/place/Covic+Connection/@39.9745812,-82.0128678,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ed0e77d493f5:0x7dc3c6d364951ae4!8m2!3d39.9745812!4d-82.0128678!16s%2Fg%2F11ldw603nn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Myers construction elite services,,,"
(740) 607-4184",,,,Bathroom remodeler,,https://www.google.com/maps/place/Myers+construction+elite+services/data=!4m7!3m6!1s0x9064ff67bc7689d:0x4de21fea257b49b8!8m2!3d40.0219935!4d-82.0857115!16s%2Fg%2F11yck1z0rs!19sChIJnWjHe_ZPBgkRuEl7Jeof4k0?authuser=0&hl=en&rclk=1
Paul Construction Co Inc,"kgraham@paulconstruction.net, mike@paulconstruction.com, plash@paulconstruction.net","(740) 453-3384, 740) 819-0149, 740) 453-3384, 740) 819-0148, (740) 819-0148, (740) 819-0149","
(740) 453-3384",Mike Paul,"
1702 Chandlersville Rd, Zanesville, OH 43701",http://www.paulconstruction.net/,General contractor,4.9,"https://www.google.com/maps/place/Paul+Construction+Co+Inc/@39.9348837,-81.9837775,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ee91f2cf00b1:0x94628dd972387469!8m2!3d39.9348837!4d-81.9837775!16s%2Fg%2F1tscpp3l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Modern Glass Paint & Tile Co,"paintdept@sbcglobal.net, angie@moderngpt.com, glassdept@sbcglobal.net, s.melsheimer@sbcglobal.net, decordept@sbcglobal.net","740) 454-1253
24, 740) 452-9260, (740) 454-1253, 740) 454-6069, (740) 452-9260, (740) 454-6069","
(740) 454-1253",,"
933 Linden Ave, Zanesville, OH 43701",http://www.moderngpt.com/,Paint store,4.5,"https://www.google.com/maps/place/Modern+Glass+Paint+%26+Tile+Co/@39.9490647,-82.0092862,16z/data=!3m1!4b1!4m6!3m5!1s0x8837ee777570621d:0x8b54ed364073e536!8m2!3d39.9490647!4d-82.0092862!16s%2Fg%2F1v29cplf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Lepi Enterprises Inc.,jim@lepienterprises.com,"(800) 327-5374, 740) 453-2980, 740-453-4691, 800) 327-5374, (740) 453-2980","
(740) 453-2980",,"
630 G W Morse St, Zanesville, OH 43701",http://www.lepienterprises.com/,General contractor,4.2,"https://www.google.com/maps/place/Lepi+Enterprises+Inc./@39.94564,-82.0127381,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ee715b718ee7:0xa716479287ce27e8!8m2!3d39.94564!4d-82.0127381!16s%2Fg%2F1tgnb8dj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
